BIBK,BJD,Bakkafjordur Airport,Bakkafjordur,Northeast,IS,14.0,66.0218963623,-14.8243999481,Atlantic/Reykjavik,
BIBL,BLO,Hjaltabakki Airport,Blonduos,Northwest,IS,131.0,65.6449966431,-20.2875003815,Atlantic/Reykjavik,
BIBV,BXV,Breiddalsvik Airport,Breiddalsvik,East,IS,8.0,64.7900009155,-14.0228004456,Atlantic/Reykjavik,
BIDV,DJU,Djupivogur Airport,Djupivogur,East,IS,9.0,64.644203186,-14.2827997208,Atlantic/Reykjavik,
BIEG,EGS,Egilsstadir Airport,Egilsstadir,East,IS,76.0,65.2833023071,-14.4013996124,Atlantic/Reykjavik,
BIFF,FAS,Faskrudsfjordur Airport,Faskrudsfjordur,East,IS,15.0,64.9317016602,-14.0606002808,Atlantic/Reykjavik,
BIFM,FAG,Fagurholsmyri Airport,Fagurholsmyri,East,IS,56.0,63.8746986389,-16.6410999298,Atlantic/Reykjavik,
BIGF,GUU,Grundarfjordur Airport,Grundarfjordur,West,IS,17.0,64.9914016724,-23.2247009277,Atlantic/Reykjavik,
BIGJ,GJR,Gjogur Airport,Gjogur,Westfjords,IS,83.0,65.995300293,-21.3269004822,Atlantic/Reykjavik,
BIGR,GRY,Grimsey Airport,Grimsey,Northeast,IS,66.0,66.5458,-18.0173,Atlantic/Reykjavik,
BIHK,HVK,Holmavik Airport,Holmavik,Westfjords,IS,90.0,65.7046966553,-21.6963996887,Atlantic/Reykjavik,
BIHN,HFN,Hornafjordur Airport,Hornafjordur,East,IS,24.0,64.2956008911,-15.2271995544,Atlantic/Reykjavik,
BIHT,FLI,Holt Airport,Flateyri,Westfjords,IS,10.0,66.0141804294,-23.4416913986,Atlantic/Reykjavik,
BIHU,HZK,Husavik Airport,Husavik,Northeast,IS,48.0,65.9523010254,-17.4260005951,Atlantic/Reykjavik,
BIIS,IFJ,Isafjordur Airport,Isafjordur,Westfjords,IS,8.0,66.0580978394,-23.1352996826,Atlantic/Reykjavik,
BIKF,KEF,Keflavik International Airport,Reykjavik,Southern Peninsula,IS,171.0,63.9850006104,-22.6056003571,Atlantic/Reykjavik,
BIKP,OPA,Kopasker Airport,Kopasker,Northeast,IS,20.0,66.310798645,-16.4666996002,Atlantic/Reykjavik,
BIKR,SAK,Saudarkrokur Airport,Saudarkrokur,Northwest,IS,8.0,65.7316970825,-19.5727996826,Atlantic/Reykjavik,
BINF,NOR,Nordfjordur Airport,Nordfjordur,East,IS,13.0,65.1318969727,-13.7463998795,Atlantic/Reykjavik,
BIOF,OFJ,Olafsfjordur Airport,Olafsfjordur,Northeast,IS,32.0,66.0832977295,-18.6667003632,Atlantic/Reykjavik,
BIPA,PFJ,Patreksfjordur Airport,Patreksfjordur,Westfjords,IS,11.0,65.5558013916,-23.9650001526,Atlantic/Reykjavik,
BIRE,RHA,Reykholar Airport,Reykholar,Westfjords,IS,60.0,65.4526290894,-22.2061157227,Atlantic/Reykjavik,
BIRF,OLI,Rif Airport,Rif,West,IS,18.0,64.9113998413,-23.8230991364,Atlantic/Reykjavik,
BIRG,RFN,Raufarhofn Airport,Raufarhofn,Northeast,IS,39.0,66.4064025879,-15.918299675,Atlantic/Reykjavik,
BIRK,RKV,Reykjavik Airport,Reykjavik,Capital Region,IS,48.0,64.1299972534,-21.9405994415,Atlantic/Reykjavik,
BIRL,MVA,Reykjahlid Airport,Myvatn,Northeast,IS,1030.0,65.6557998657,-16.9181003571,Atlantic/Reykjavik,
BISI,SIJ,Siglufjordur Airport,Siglufjordur,Northeast,IS,10.0,66.1333007813,-18.9167003632,Atlantic/Reykjavik,
BIST,SYK,Stykkisholmur Airport,Stykkisholmur,West,IS,42.0,65.0580978394,-22.7942008972,Atlantic/Reykjavik,
BITE,TEY,Tingeyri Airport,Tingeyri,Westfjords,IS,65.0,65.870300293,-23.5599994659,Atlantic/Reykjavik,
BITN,THO,Thorshofn Airport,Thorshofn,Northeast,IS,65.0,66.21849823,-15.3355998993,Atlantic/Reykjavik,
BIVM,VEY,Vestmannaeyjar Airport,Vestmannaeyjar,South,IS,326.0,63.4243011475,-20.2789001465,Atlantic/Reykjavik,
BIVO,VPN,Vopnafjordur Airport,Vopnafjordur,East,IS,16.0,65.7205963135,-14.8506002426,Atlantic/Reykjavik,
CAD4,YZZ,Trail Airport,Trail,British Columbia,CA,1427.0,49.0555992126,-117.60900116,America/Vancouver,
CAJ4,YAA,Anahim Lake Airport,Anahim Lake,British Columbia,CA,3635.0,52.4524993896,-125.3030014038,America/Vancouver,
CAL3,DGF,Douglas Lake Airport,Douglas Lake,British Columbia,CA,2770.0,50.1654600485,-120.171273351,America/Vancouver,
CAL4,JHL,Fort MacKay/Albian Aerodrome,Albian Village,Alberta,CA,1048.0,57.2238998413,-111.418998718,America/Edmonton,
CAM3,DUQ,Duncan Airport,Duncan,British Columbia,CA,300.0,48.7545336204,-123.709702492,America/Vancouver,
CCA6,YWM,Williams Harbour Airport,Williams Harbour,Newfoundland and Labrador,CA,70.0,52.5668983459,-55.7846984863,America/St_Johns,
CCK4,YFX,St. Lewis (Fox Harbour) Airport,St. Lewis,Newfoundland and Labrador,CA,74.0,52.3727989197,-55.6739006042,America/St_Johns,
CCP4,YHA,Port Hope Simpson Airport,Port Hope Simpson,Newfoundland and Labrador,CA,347.0,52.5280990601,-56.2860984802,America/St_Johns,
CCZ2,YRG,Rigolet Airport,Rigolet,Newfoundland and Labrador,CA,180.0,54.1796989441,-58.4575004578,America/Halifax,
CDK2,DVK,Diavik Airport,Diavik,Northwest Territories,CA,1413.0,64.5113983154,-110.289001465,America/Yellowknife,
